champ_Corki_t1,champ_Corki_t2,champ_KSante_t1,champ_KSante_t2,champ_Azir_t1,champ_Azir_t2,champ_Xin Zhao_t1,champ_Xin Zhao_t2,champ_Ezreal_t1,champ_Ezreal_t2,champ_Taliyah_t1,champ_Taliyah_t2,champ_Rell_t1,champ_Rell_t2,champ_Rumble_t1,champ_Rumble_t2,champ_Nautilus_t1,champ_Nautilus_t2,champ_Vi_t1,champ_Vi_t2,champ_Alistar_t1,champ_Alistar_t2,champ_Rakan_t1,champ_Rakan_t2,champ_Sejuani_t1,champ_Sejuani_t2,champ_Lucian_t1,champ_Lucian_t2,champ_Jhin_t1,champ_Jhin_t2,champ_Gnar_t1,champ_Gnar_t2,champ_Varus_t1,champ_Varus_t2,champ_Ryze_t1,champ_Ryze_t2,champ_Jayce_t1,champ_Jayce_t2,champ_Ambessa_t1,champ_Ambessa_t2,champ_Renekton_t1,champ_Renekton_t2,champ_Leona_t1,champ_Leona_t2,champ_Zeri_t1,champ_Zeri_t2,champ_Pantheon_t1,champ_Pantheon_t2,champ_Orianna_t1,champ_Orianna_t2,champ_Ashe_t1,champ_Ashe_t2,champ_Ahri_t1,champ_Ahri_t2,champ_Poppy_t1,champ_Poppy_t2,champ_Jarvan IV_t1,champ_Jarvan IV_t2,champ_Wukong_t1,champ_Wukong_t2,champ_Lee Sin_t1,champ_Lee Sin_t2,champ_Aurora_t1,champ_Aurora_t2,champ_Kaisa_t1,champ_Kaisa_t2,champ_Maokai_t1,champ_Maokai_t2,champ_Yone_t1,champ_Yone_t2,champ_Aatrox_t1,champ_Aatrox_t2,champ_Neeko_t1,champ_Neeko_t2,champ_Skarner_t1,champ_Skarner_t2,champ_Miss Fortune_t1,champ_Miss Fortune_t2,champ_Kalista_t1,champ_Kalista_t2,team1_champ_wr_avg,team2_champ_wr_avg,game_id,team1_win,total_kills
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,53705,0,10
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.49375,53706,0,27
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.49375,0.5125,53707,0,35
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50625,0.4882352941176471,53702,0,28
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5062091503267974,53703,0,14
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4875,0.4999591503267974,53885,1,25
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.49874999999999997,0.5007352941176471,53886,0,36
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.48395897832817336,0.5242647058823529,53882,0,18
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47944444444444445,0.5284313725490196,53883,0,21
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5111111111111111,0.5048202614379085,53891,1,26
