champ_KSante_t1,champ_KSante_t2,champ_Xin Zhao_t1,champ_Xin Zhao_t2,champ_Nautilus_t1,champ_Nautilus_t2,champ_Varus_t1,champ_Varus_t2,champ_Rell_t1,champ_Rell_t2,champ_Corki_t1,champ_Corki_t2,champ_Rumble_t1,champ_Rumble_t2,champ_Ezreal_t1,champ_Ezreal_t2,champ_Alistar_t1,champ_Alistar_t2,champ_Renekton_t1,champ_Renekton_t2,champ_Rakan_t1,champ_Rakan_t2,champ_Azir_t1,champ_Azir_t2,champ_Lucian_t1,champ_Lucian_t2,champ_Taliyah_t1,champ_Taliyah_t2,champ_Vi_t1,champ_Vi_t2,champ_Ambessa_t1,champ_Ambessa_t2,champ_Ryze_t1,champ_Ryze_t2,champ_Jhin_t1,champ_Jhin_t2,champ_Sion_t1,champ_Sion_t2,champ_Pantheon_t1,champ_Pantheon_t2,champ_Leona_t1,champ_Leona_t2,champ_Kaisa_t1,champ_Kaisa_t2,champ_Ahri_t1,champ_Ahri_t2,champ_Miss Fortune_t1,champ_Miss Fortune_t2,champ_Aurora_t1,champ_Aurora_t2,champ_Neeko_t1,champ_Neeko_t2,champ_Gnar_t1,champ_Gnar_t2,champ_Orianna_t1,champ_Orianna_t2,champ_Karma_t1,champ_Karma_t2,champ_Ashe_t1,champ_Ashe_t2,champ_Jarvan IV_t1,champ_Jarvan IV_t2,champ_Jayce_t1,champ_Jayce_t2,champ_Wukong_t1,champ_Wukong_t2,champ_Maokai_t1,champ_Maokai_t2,champ_Poppy_t1,champ_Poppy_t2,champ_Lee Sin_t1,champ_Lee Sin_t2,champ_Braum_t1,champ_Braum_t2,champ_Sejuani_t1,champ_Sejuani_t2,champ_Annie_t1,champ_Annie_t2,champ_Jax_t1,champ_Jax_t2,team1_champ_wr_avg,team2_champ_wr_avg,game_id,team1_win,total_kills
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,53781,0,30
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.51875,0.50625,53782,0,24
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5180147058823529,53783,1,22
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5118055555555555,0.4881944444444445,53778,1,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47215342277261785,0.4992647058823529,53779,1,21
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5292763157894738,0.495,53780,1,25
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5022408963585434,0.49375,54172,1,29
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.4701797385620915,0.538885918003565,54173,0,31
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5140360091404983,0.4993464052287582,54169,1,11
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5172222222222222,0.5241161616161616,54170,1,28
